轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
8,2017-10-15 18:00,0,埃瓦尔,18,0-0,0-0,0,拉科鲁尼亚,15,平/半,平/半,2.5,1
8,2017-10-15 22:15,0,赫罗纳,16,1-2,1-2,0,比利亚雷亚尔,10,平手,平手,2/2.5,1
8,2017-10-16 00:30,1,马拉加,20,0-2,0-0,0,雷加利斯,8,平/半,平/半,2,0.5/1
8,2017-10-16 02:45,0,皇家贝蒂斯,6,3-6,0-2,0,巴伦西亚,5,平手,平手,2.5,1
8,2017-10-17 03:00,0,拉斯帕尔马斯,18,2-5,0-2,1,塞尔塔,13,平手,平手,2.5,1
9,2017-10-21 19:00,0,莱万特,12,1-1,0-0,0,赫塔菲,14,平手,平手,2/2.5,1
9,2017-10-21 22:15,0,皇家贝蒂斯,9,2-0,1-0,0,阿拉维斯,19,平/半,平/半,2.5,1
9,2017-10-22 00:30,0,巴伦西亚,2,4-0,1-0,0,塞维利亚,5,平/半,平/半,2.5/3,1/1.5
9,2017-10-22 02:45,0,巴塞罗那,1,2-0,1-0,0,马拉加,20,一/球半,一/球半,4,1.5/2
9,2017-10-22 18:00,0,比利亚雷亚尔,9,4-0,0-0,0,拉斯帕尔马斯,18,平/半,平/半,2.5,1/1.5
9,2017-10-22 22:15,0,塞尔塔,10,0-1,0-1,0,马德里竞技,4,平/半,平/半,2/2.5,1
9,2017-10-23 00:30,0,雷加利斯,7,1-0,0-0,0,毕尔巴鄂竞技,11,平手,平手,2,0.5/1
9,2017-10-23 02:45,0,皇家马德里,3,3-0,2-0,0,埃瓦尔,16,一/球半,一/球半,4,1.5/2
9,2017-10-24 02:00,1,皇家社会,9,1-1,0-1,0,西班牙人,14,平/半,平/半,2.5/3,1/1.5
9,2017-10-24 03:00,0,拉科鲁尼亚,15,1-2,0-1,0,赫罗纳,17,平/半,平/半,2.5,1
10,2017-10-28 19:00,0,阿拉维斯,19,1-2,0-1,0,巴伦西亚,2,平/半,平/半,2.5,1
10,2017-10-29 00:30,0,马德里竞技,4,1-1,0-0,0,比利亚雷亚尔,6,半球,半球,2.5,1
10,2017-10-29 02:45,0,毕尔巴鄂竞技,11,0-2,0-1,0,巴塞罗那,1,半球,半球,3/3.5,1/1.5
10,2017-10-29 04:30,0,塞维利亚,8,2-1,1-0,0,雷加利斯,5,半球,半球,2.5/3,1
10,2017-10-29 19:00,0,赫塔菲,14,2-1,0-1,0,皇家社会,9,平手,平手,2.5,1
10,2017-10-29 23:15,0,赫罗纳,15,2-1,0-1,0,皇家马德里,3,半/一,半/一,3.5,1.5
10,2017-10-30 01:30,0,埃瓦尔,17,2-2,0-2,0,莱万特,12,平/半,平/半,2.5,1
10,2017-10-30 03:45,0,马拉加,20,2-1,1-0,0,塞尔塔,10,平手,平手,2.5,1
10,2017-10-31 04:00,0,西班牙人,15,1-0,0-0,0,皇家贝蒂斯,8,平/半,平/半,2.5,1
10,2017-10-31 04:00,0,拉斯帕尔马斯,18,1-3,1-1,0,拉科鲁尼亚,16,平/半,平/半,2.5,1
11,2017-11-04 04:00,0,皇家贝蒂斯,8,2-2,0-2,0,赫塔菲,11,平/半,平/半,2.5,1
11,2017-11-04 20:00,0,巴伦西亚,2,3-0,1-0,0,雷加利斯,7,半球,半球,2.5/3,1
11,2017-11-04 23:15,0,拉科鲁尼亚,16,0-1,0-0,0,马德里竞技,4,平/半,平/半,2.5,1
11,2017-11-05 01:30,0,阿拉维斯,20,1-0,1-0,1,西班牙人,11,平手,平手,2/2.5,0.5/1
11,2017-11-05 03:45,0,巴塞罗那,1,2-1,1-0,0,塞维利亚,5,半/一,半/一,4,1.5/2
11,2017-11-05 19:00,0,莱万特,12,1-2,0-0,0,赫罗纳,13,平手,平手,2/2.5,1
11,2017-11-05 23:15,0,塞尔塔,14,3-1,3-1,0,毕尔巴鄂竞技,15,平手,平手,2.5,1
11,2017-11-06 01:30,0,比利亚雷亚尔,6,2-0,0-0,0,马拉加,20,半球,半球,2.5/3,1
11,2017-11-06 01:30,0,皇家社会,9,3-1,2-0,0,埃瓦尔,17,平/半,平/半,2.5,1
11,2017-11-06 03:45,0,皇家马德里,4,3-0,1-0,0,拉斯帕尔马斯,19,球半,球半,4/4.5,2
12,2017-11-18 04:00,0,赫罗纳,10,1-1,0-1,0,皇家社会,7,平手,平手,2.5,1
12,2017-11-18 20:00,0,赫塔菲,12,4-1,2-0,0,阿拉维斯,18,平/半,平/半,2/2.5,0.5/1
12,2017-11-18 23:15,0,雷加利斯,9,0-3,0-1,0,巴塞罗那,1,半/一,半/一,3/3.5,1/1.5
12,2017-11-19 01:30,0,塞维利亚,6,2-1,1-1,0,塞尔塔,11,平/半,平/半,2.5/3,1/1.5
12,2017-11-19 03:45,0,马德里竞技,4,0-0,0-0,0,皇家马德里,3,平手,平手,2.5,1
12,2017-11-19 19:00,0,马拉加,20,3-2,1-1,0,拉科鲁尼亚,16,平/半,平/半,2/2.5,1
12,2017-11-19 23:15,0,西班牙人,13,0-2,0-0,0,巴伦西亚,2,平/半,平/半,2.5,1
12,2017-11-20 01:30,0,拉斯帕尔马斯,19,0-2,0-0,0,莱万特,14,平/半,平/半,2.5,1
12,2017-11-20 03:45,0,毕尔巴鄂竞技,15,1-1,0-1,0,比利亚雷亚尔,6,平手,平手,2/2.5,1
12,2017-11-21 04:00,0,埃瓦尔,17,5-0,2-0,1,皇家贝蒂斯,8,平手,平手,2.5,1
13,2017-11-25 04:00,0,塞尔塔,13,1-0,1-0,0,雷加利斯,8,平/半,平/半,2/2.5,1
13,2017-11-25 20:00,1,阿拉维斯,19,1-2,0-1,1,埃瓦尔,17,平手,平手,2/2.5,0.5/1
13,2017-11-25 23:15,0,皇家马德里,3,3-2,2-1,0,马拉加,18,一/球半,一/球半,4/4.5,1.5/2
13,2017-11-26 01:30,0,皇家贝蒂斯,10,2-2,0-1,0,赫罗纳,12,平/半,平/半,2.5,1
13,2017-11-26 03:45,0,莱万特,13,0-5,0-2,0,马德里竞技,4,平/半,平/半,2/2.5,0.5/1
13,2017-11-26 19:00,0,拉科鲁尼亚,17,2-2,1-1,0,毕尔巴鄂竞技,16,平手,平手,2/2.5,1
13,2017-11-26 23:15,1,皇家社会,7,2-2,1-1,0,拉斯帕尔马斯,20,半球,半球,2.5/3,1/1.5
13,2017-11-27 01:30,1,比利亚雷亚尔,6,2-3,1-0,0,塞维利亚,5,平手,平手,2.5,1
13,2017-11-27 03:45,0,巴伦西亚,2,1-1,0-0,0,巴塞罗那,1,平/半,平/半,3/3.5,1/1.5
13,2017-11-28 04:00,0,西班牙人,16,1-0,0-0,0,赫塔菲,12,平/半,平/半,2.5,1
14,2017-12-02 04:00,0,马拉加,18,0-0,0-0,0,莱万特,14,平/半,平/半,2.5,1
14,2017-12-02 20:00,0,巴塞罗那,1,2-2,1-1,0,塞尔塔,9,一球,一球,4,1.5/2
14,2017-12-02 23:15,0,马德里竞技,3,2-1,0-1,0,皇家社会,7,平/半,平/半,2.5,1
14,2017-12-03 01:30,0,塞维利亚,5,2-0,1-0,0,拉科鲁尼亚,17,半球,半球,2.5/3,1/1.5
14,2017-12-03 03:45,0,毕尔巴鄂竞技,16,0-0,0-0,1,皇家马德里,4,半球,半球,3/3.5,1/1.5
