赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2017-2018,26777,L.苏亚雷斯,84,33,1,2902,23,1,24,121,56,50,4,254.74
2017-2018,26841,库兹马诺维奇,102,8,2,520,0,0,0,3,0,2,0,47.56
2017-2018,26883,加梅罗,109,26,15,1127,5,2,7,20,14,9,1,168.8
2017-2018,26990,拉基蒂奇,84,35,4,2838,1,0,1,28,11,46,0,249.08
2017-2018,27023,桑切斯,100,14,1,1123,0,0,0,4,0,14,0,93.94
2017-2018,27080,博扬,137,12,8,427,0,0,0,5,4,17,0,73.72
2017-2018,27083,克罗斯,82,27,1,2268,5,0,5,41,17,38,1,202.06
2017-2018,27157,格拉内罗,100,24,13,1222,1,0,1,13,2,22,0,157.11
2017-2018,27158,布伊诺,102,10,9,206,0,0,0,5,1,5,0,60.58
2017-2018,27159,G.卡斯特罗,102,26,0,2055,3,1,4,32,10,28,2,175.25
2017-2018,27162,莱昂,131,12,2,929,0,0,0,24,7,10,1,83.93
2017-2018,27172,科斯塔,109,15,2,1070,3,0,3,25,10,19,0,102.43
2017-2018,27283,苏塞塔,92,34,8,2271,3,0,3,27,13,50,1,229.57
2017-2018,27420,安图内斯,98,33,2,2796,0,0,0,30,3,36,0,221.15
2017-2018,27579,史杜安尼,982,26,1,2140,16,5,21,53,28,52,3,182.08
2017-2018,27651,巴内加,86,31,6,2403,0,3,3,37,13,50,1,218.11
2017-2018,28061,卡路士马天尼斯,106,1,1,2,0,0,0,0,0,1,0,6.08
2017-2018,28065,阿吉雷切,106,11,9,223,0,0,0,6,2,4,0,67.67
2017-2018,28120,西蒙.凯尔,86,20,2,1571,2,0,2,9,2,9,0,136.28
2017-2018,28538,加西亚,991,11,2,859,1,0,1,5,3,14,0,71.53
2017-2018,28595,库蒂尼奥,84,18,2,1304,8,0,8,37,20,32,3,137.14
2017-2018,28686,巴利祖,91,34,0,3009,1,6,7,45,21,67,6,252.01
2017-2018,28717,阿森霍,107,23,0,2070,0,0,0,0,0,3,3,156.79
2017-2018,28801,桑切斯,100,30,1,2463,0,0,0,13,1,50,0,208.6
2017-2018,28803,布茨克斯,84,31,1,2600,1,0,1,5,4,58,0,223.96
2017-2018,28823,伊图拉斯佩,92,30,10,1902,0,0,0,6,1,22,0,198.78
2017-2018,28881,A.干沙里斯,102,29,2,2341,2,1,3,35,12,32,0,189.68
2017-2018,28979,皮亚蒂,100,30,8,1749,1,1,2,31,6,52,1,200.81
2017-2018,29023,博德博兹,96,27,12,1361,2,0,2,19,12,17,1,180.41
2017-2018,29027,凯科,102,21,6,1217,0,0,0,18,5,28,0,136.08
2017-2018,29033,巴伦齐亚加,92,18,0,1555,0,0,0,3,0,16,0,122.24
2017-2018,29034,阿德里安·洛佩斯,93,30,4,2346,9,0,9,61,20,28,4,208.27
2017-2018,29044,瓜伊塔,98,33,0,2970,0,0,0,0,0,4,3,225.11
2017-2018,29142,H.莫雷诺,106,8,0,720,1,0,1,8,4,13,0,55.4
2017-2018,29271,泰顿,93,2,1,97,0,0,0,0,0,0,0,11.08
2017-2018,30366,阿尔巴,84,33,3,2744,2,0,2,15,5,22,1,237.58
2017-2018,30367,P.迪奥普,131,20,5,1226,0,0,0,15,1,25,0,130.87
2017-2018,30417,W.梅巴拉克,137,20,8,1098,0,0,0,9,1,22,0,131.68
2017-2018,30477,莫莫,991,13,5,679,0,0,0,6,1,21,0,81.54
2017-2018,30634,罗德里格斯,98,33,7,2299,13,0,13,68,31,36,4,223.86
2017-2018,30635,J.奥马,992,23,5,1455,0,0,0,9,2,18,0,150.06
2017-2018,30738,科克,103,17,1,1390,3,0,3,11,5,12,0,115.67
2017-2018,30830,贝尔纳多,982,34,2,2868,0,0,0,26,5,16,0,233.72
2017-2018,30833,迪拉比尔拿,106,17,0,1530,0,0,0,6,1,17,0,117.11
2017-2018,31317,恩松齐,86,27,1,2215,1,0,1,22,5,13,0,186.09
2017-2018,31797,费尔南德斯,107,3,0,226,0,0,0,0,0,0,0,19.98
2017-2018,35563,卡里索,86,6,1,459,0,0,0,2,0,0,0,40.51
2017-2018,36798,纳瓦斯,82,27,0,2430,0,0,0,0,0,3,1,187.29
2017-2018,39418,安赫尔,131,30,2,2431,0,0,0,15,0,17,3,210.58
2017-2018,40851,科隆.德里,93,24,9,1265,1,0,1,13,3,5,0,152.28
2017-2018,40861,沃斯,114,35,1,2941,4,0,4,52,11,53,0,240.19
2017-2018,48835,卡纳莱斯,106,36,16,1920,4,0,4,67,15,29,2,245.23
2017-2018,49459,干贵士,131,34,3,2641,5,0,5,64,22,49,2,225.76
2017-2018,50550,奥雷利亚纳,131,17,4,1206,3,0,3,27,5,20,1,114.73
2017-2018,51379,科齐亚,86,12,3,823,0,0,0,5,3,22,0,79.73
2017-2018,56882,米切尔,991,28,2,2140,0,0,0,6,3,44,0,183.97
2017-2018,58186,大衛.索里亞,86,15,0,1265,0,0,0,0,0,1,0,102.86
2017-2018,58193,胡安.卡洛斯,102,10,1,784,0,0,0,2,0,6,0,66.76
2017-2018,59451,扎扎,91,33,10,2109,13,0,13,72,24,32,3,225.38
2017-2018,60320,博维达,93,14,1,1191,0,0,0,0,0,4,0,91.23
2017-2018,62151,博格斯,93,32,6,2362,3,0,3,31,8,13,1,219.45
2017-2018,62348,佩雷斯,992,31,2,2519,0,0,0,17,1,47,1,216.95
2017-2018,62352,穆涅萨,982,13,0,1129,0,0,0,2,1,9,0,89.81
2017-2018,62490,戈丁,109,30,2,2554,0,0,0,14,5,26,0,212.55
2017-2018,62546,莫利纳,98,36,5,2792,4,3,7,65,26,61,1,240.75
2017-2018,65481,索里亚诺,107,22,11,1133,0,0,0,20,6,33,0,140.43
2017-2018,65833,莱斯蒂耶纳,102,12,4,671,0,0,0,10,1,3,0,76.19
2017-2018,66806,拉瓜迪亚,137,17,0,1530,2,0,2,5,2,5,1,117.8
2017-2018,66812,穆尼亚因,92,14,7,775,4,0,4,18,10,29,1,96.77
2017-2018,66817,拉肯,102,18,6,1122,0,0,0,7,1,11,0,114.87
2017-2018,66823,罗伯托,102,34,0,3060,0,0,0,1,0,3,1,226.17
2017-2018,66841,丰塔斯,114,12,3,884,0,0,0,1,0,0,0,78.19
2017-2018,67413,特尔施特根,84,37,0,3330,0,0,0,0,0,1,0,255.37
2017-2018,67427,科克,109,35,2,2764,4,0,4,29,14,51,1,248.1
2017-2018,67895,哈维-加西亚,96,32,5,2410,1,0,1,11,1,33,0,211.71
2017-2018,67909,西德内,93,21,0,1779,1,0,1,9,2,11,1,143.62
2017-2018,67937,圣何塞,92,26,2,2157,1,0,1,20,5,9,1,175.82
2017-2018,67959,鲁伊斯,107,27,0,2430,2,0,2,5,2,6,1,186.62
2017-2018,68640,贝奥夫,992,28,11,1671,2,0,2,40,9,26,0,175.66
2017-2018,68880,索華斯,992,24,0,2068,1,0,1,17,2,15,1,165.59
2017-2018,69605,杜库雷,103,19,7,1021,1,0,1,18,1,11,0,118.78
2017-2018,69796,科奎林,91,9,2,656,1,0,1,4,3,7,1,63.94
2017-2018,69948,帕切科,98,10,10,164,0,0,0,1,0,0,0,62.46
2017-2018,69970,拉马略,982,26,1,2297,0,0,0,7,1,12,0,172
2017-2018,70105,J.盧比斯,100,14,2,967,0,0,0,3,0,20,0,96.4
2017-2018,70113,詹米,106,29,11,1483,8,0,8,37,13,23,0,188.76
2017-2018,70219,阿马特,96,25,1,2108,0,0,0,7,1,10,0,163.31
2017-2018,70222,普拉达,93,22,6,1396,0,0,0,12,3,12,0,143.67
2017-2018,70244,迪达克,100,14,7,724,0,0,0,11,3,13,1,93.49
2017-2018,70306,科拉克,93,26,9,1455,1,0,1,17,8,24,0,170.26
2017-2018,70311,劳尔-加西亚,992,19,4,1388,0,0,0,7,1,18,0,127.16
2017-2018,70318,马克巴尔特拉,96,16,0,1421,1,0,1,11,3,16,1,119.5
2017-2018,71676,L.穆里尔,86,29,12,1604,7,0,7,58,21,13,2,189.38
2017-2018,71881,D.維拉巴,98,1,0,62,0,0,0,0,0,0,0,6.52
2017-2018,72044,R.庫基亞,96,3,2,133,0,0,0,1,1,3,0,19.69
2017-2018,74000,阿吉雷加莱,991,15,1,1155,0,0,0,9,0,21,0,99.55
2017-2018,74093,E.穆诺斯,992,18,2,1318,0,0,0,5,2,6,1,121.44
2017-2018,74187,G·默卡多,86,26,1,2123,0,0,0,18,7,16,1,177.22
2017-2018,74341,马丁内斯,98,5,0,450,0,0,0,0,0,1,0,33.78
2017-2018,74345,内雷奥.尚帕格尼,992,2,0,180,0,0,0,0,0,0,0,11.37
2017-2018,74395,皮萨罗,86,23,4,1753,1,0,1,13,4,26,1,159.56
2017-2018,74608,卡巴拉,114,26,6,1889,1,0,1,10,2,4,1,173.3
2017-2018,74830,巴斯克斯,86,30,8,1845,4,0,4,55,13,61,3,201.99
2017-2018,75406,劳尔.纳瓦斯,106,20,0,1792,0,0,0,13,2,6,0,136.35
2017-2018,75433,阿斯帕斯,114,34,1,2938,20,2,22,94,44,62,12,254.25
2017-2018,75438,奥特里诺,131,1,0,90,0,0,0,0,0,0,0,7.5
2017-2018,75500,阿尔卡塞尔,84,15,7,663,4,0,4,15,7,9,0,99.84
2017-2018,77226,托马斯,102,20,12,976,1,1,2,26,10,7,0,123.12
2017-2018,78082,西莱森,84,1,0,90,0,0,0,0,0,0,0,7.59
2017-2018,78255,佩雷斯,137,14,9,509,0,0,0,8,2,7,0,87.97
2017-2018,78262,马里奥,107,32,1,2805,2,0,2,30,10,15,2,228.67
2017-2018,78351,B.耶德威萨姆,86,25,7,1727,9,0,9,49,28,20,1,166.7
2017-2018,78367,埃斯库德罗,86,27,1,2332,0,0,0,19,4,38,2,189.02
2017-2018,78414,索郎姆杜萨,106,31,5,2282,0,0,0,14,3,47,0,205.5
2017-2018,78416,格列兹曼,109,32,2,2553,17,2,19,72,40,44,7,235.87
2017-2018,78434,皮纳,137,30,2,2392,1,0,1,13,3,29,1,203.97
2017-2018,78474,萨维奇,109,27,1,2299,0,0,0,3,1,8,0,186.42
2017-2018,78604,科瓦尔,93,2,0,173,0,0,0,0,0,0,0,9.94
2017-2018,78668,福萨里科,109,21,2,1697,0,0,0,3,0,12,0,149.39
2017-2018,78731,罗德里戈,91,36,5,2667,15,1,16,91,39,40,1,254.03
2017-2018,78738,F.劳尔,103,11,0,990,0,0,0,0,0,2,2,75.63
2017-2018,78755,诺利托,86,31,14,1621,4,0,4,38,18,24,1,207.33
2017-2018,78841,伊拜·戈麦斯,137,34,8,2325,6,1,7,54,24,19,3,230.28
2017-2018,78906,伊斯科,82,30,9,1781,7,0,7,49,19,59,3,214.3
2017-2018,78907,克里斯蒂安.波尔图,982,37,2,3015,11,0,11,51,25,55,1,252.06
2017-2018,78915,托诺,106,4,1,315,0,0,0,0,0,0,0,23.05
2017-2018,78918,伊利亚拉门迪,106,36,1,3130,7,0,7,35,11,66,5,258.11
2017-2018,79037,乌姆蒂蒂,84,25,1,2189,1,0,1,9,5,25,0,175.06
2017-2018,79088,圭德蒂,137,25,10,1339,3,0,3,33,14,16,0,162.46
2017-2018,79108,圣索内,107,18,13,627,4,1,5,15,7,12,0,117.3
2017-2018,79115,瓦拉内,82,27,0,2323,0,0,0,10,2,12,1,185.77
2017-2018,79156,康多比亚,91,31,1,2629,4,0,4,28,8,52,4,228.81
2017-2018,79262,布拉萨纳奇,992,23,10,1202,2,0,2,10,5,20,0,150.08
2017-2018,79276,科瓦西奇,82,21,11,1006,0,0,0,9,2,20,2,141.47
2017-2018,79346,米克尔,102,20,0,1781,0,0,0,10,2,14,1,131.44
2017-2018,79551,罗基纳,103,5,4,148,1,0,1,7,1,4,0,32.04
2017-2018,79634,比奴尔巴,991,7,0,572,0,0,0,5,0,4,0,45.45
2017-2018,79636,隆卡里亚,114,20,3,1491,0,0,0,4,1,9,0,131.55
2017-2018,80292,阿尔瓦罗,107,33,1,2900,0,0,0,15,3,30,0,222.99
2017-2018,80737,纳乔,82,26,4,2073,3,0,3,10,4,28,0,180
2017-2018,80917,甘索,86,7,0,523,2,0,2,7,3,11,0,48.32
2017-2018,81423,保利尼奥,84,34,13,1940,9,0,9,45,22,33,0,234.18
2017-2018,82014,S.罗伯托,84,29,5,2262,1,0,1,8,4,26,0,209.87
2017-2018,82028,奥耶尔,103,26,0,2340,0,0,0,0,0,4,1,172.64
2017-2018,82787,P·埃尔南德斯,114,30,12,1812,3,0,3,17,3,63,3,208.96
2017-2018,83013,基基佐拉,991,27,0,2430,0,0,0,0,0,6,2,182.9
2017-2018,83553,达米安,98,33,0,2925,1,0,1,10,5,41,1,228.32
2017-2018,84488,杜阿尔特,100,11,0,990,0,0,0,3,0,6,0,72.22
2017-2018,84535,特略,96,31,15,1658,4,0,4,32,16,20,3,207.82
2017-2018,84545,普朗纳斯,982,5,3,189,0,0,0,1,0,0,0,32.64
2017-2018,84547,蒙托亚,91,25,1,2152,0,0,0,8,6,27,1,177.46
2017-2018,84832,萨拉比亚,86,34,7,2407,5,1,6,58,27,41,1,229.69
2017-2018,85282,加西亚,982,37,3,2814,2,0,2,51,10,110,0,252.38
2017-2018,85544,洛博特卡,114,38,4,3061,0,0,0,8,3,47,0,253.24
2017-2018,85553,马赞,114,2,1,81,0,0,0,2,1,0,0,12.52
2017-2018,86419,古希美,93,31,0,2645,0,0,0,37,2,45,1,207.73
2017-2018,87203,拉云,86,16,5,1180,2,0,2,22,5,9,0,107.87
2017-2018,87657,萨迪库,103,6,2,269,0,0,0,5,2,1,0,37.3
2017-2018,87683,法尔,98,31,5,2384,1,0,1,22,10,37,1,212.33
2017-2018,87914,卢纳,103,23,1,2021,0,0,0,5,0,15,0,153.96
2017-2018,88044,迪涅,84,12,4,702,0,0,0,2,1,7,0,80.28
2017-2018,88524,卡西利亚,82,10,0,900,0,0,0,0,0,0,0,65.39
2017-2018,88589,伊图拉,102,20,2,1583,0,0,0,2,1,21,0,133.82
2017-2018,89577,路易辛霍,93,30,1,2622,1,0,1,16,4,49,1,210.62
2017-2018,89714,埃切塔,92,5,0,377,1,0,1,4,1,2,0,32.62
2017-2018,89761,帕尔多,106,6,3,227,0,0,0,1,0,2,0,37.92
2017-2018,89774,雅伊罗,991,11,5,559,0,0,0,9,1,7,0,67.57
2017-2018,89780,伊尼戈,92,28,0,2496,1,0,1,19,6,35,1,191.48
2017-2018,89797,查尔斯,131,30,12,1587,7,1,8,45,16,29,1,198.36
2017-2018,89818,米克尔.里科,92,16,3,1169,0,0,0,13,1,23,0,106.26
2017-2018,89849,奎克,131,34,6,2453,8,0,8,71,28,76,3,226.68
2017-2018,89854,D.占美尼斯,96,4,0,309,0,0,0,0,0,1,0,28.2
2017-2018,89857,R.迪圖,992,9,3,607,0,0,0,1,0,6,0,56.8
2017-2018,89968,萨沃里特,92,19,3,1429,0,0,0,6,2,13,0,128.06
2017-2018,89974,坎帕纳,103,35,2,2742,1,0,1,22,8,30,4,241.27
2017-2018,90272,莫拉,98,23,17,783,0,0,0,6,0,6,0,143.54
2017-2018,90426,切里舍夫,107,24,15,920,2,0,2,29,9,14,0,156.9
2017-2018,90474,卡洛斯.巴卡,107,35,5,2511,14,1,15,74,35,21,3,243.54
2017-2018,90528,高美斯,114,33,2,2682,1,0,1,14,2,6,0,220.29
2017-2018,90559,霍尔达,107,30,1,2564,0,0,0,12,3,37,0,205.33
2017-2018,90605,A.曼迪,96,34,0,3060,1,0,1,14,2,25,0,232.19
2017-2018,90624,卡罗勒,86,6,0,540,0,0,0,3,1,6,1,41.3
2017-2018,90684,塞尔吉,131,19,5,1331,3,0,3,32,11,28,0,125.91
2017-2018,90690,比达尔,84,14,10,453,1,0,1,7,5,12,0,89.49
2017-2018,91156,勒内,131,14,4,911,0,0,0,3,0,7,0,93.25
2017-2018,91162,路扎诺,982,14,10,465,1,0,1,17,7,10,0,90.14
2017-2018,91759,卡塞米罗,82,30,0,2601,5,0,5,32,12,73,1,223.68
2017-2018,92000,柴崎岳,98,22,10,1003,1,0,1,10,3,13,0,140.22
2017-2018,92369,马洛,114,34,0,3005,0,0,0,23,8,27,1,236.46
2017-2018,92395,薜慕,991,31,2,2606,0,0,0,3,1,51,0,208.19
2017-2018,92396,J.戈麦斯,991,24,7,1525,0,0,0,14,0,29,0,149.67
2017-2018,92455,阿尔比拉,131,29,3,2411,2,0,2,17,4,11,2,198.39
2017-2018,92660,法比安,93,25,0,2226,2,0,2,18,6,23,0,170.8
2017-2018,93166,迪米杜域,131,36,0,3240,0,0,0,0,0,5,0,235.3
2017-2018,93352,山度士,137,10,5,478,2,0,2,7,5,0,0,62.84
2017-2018,94049,凯文.罗德里格斯,106,19,1,1632,1,0,1,14,3,15,0,129.92
2017-2018,94832,D.苏亚雷斯,84,17,13,582,3,0,3,12,5,10,0,113.71
2017-2018,95054,维托洛,109,23,7,1310,2,0,2,14,6,51,1,152.65
2017-2018,95191,迭戈.罗兰,102,27,5,2034,5,0,5,37,18,50,0,179.37
2017-2018,95378,巴尔博萨,107,13,1,1124,0,0,0,0,0,3,0,86.33
2017-2018,96056,盖斯,86,14,7,670,0,0,0,6,1,2,0,90.61
2017-2018,96073,R.马尔蒂,103,17,7,930,2,1,3,27,8,14,0,109.67
2017-2018,96160,加维斯,991,22,0,1980,1,0,1,18,5,19,1,149.17
2017-2018,96219,德尔佩斯,103,3,0,175,0,0,0,1,0,0,0,21.49
2017-2018,96536,特里格罗斯,107,34,2,2717,2,1,3,28,8,43,1,235.52
2017-2018,97209,萨乌尔,109,36,1,3156,2,0,2,53,9,35,1,265.86
2017-2018,99273,阿里扎巴拉加,92,30,0,2700,0,0,0,0,0,7,2,203.47
2017-2018,99340,埃泽基尔,991,10,5,508,0,0,0,7,3,7,0,62.16
2017-2018,99591,奥布拉克,109,37,0,3330,0,0,0,0,0,3,3,258.19
2017-2018,100087,S.达萨里,107,1,1,33,0,0,0,0,0,1,0,6.1
2017-2018,100640,布埃桑,92,8,0,720,0,0,0,0,0,2,1,54.55
2017-2018,101261,卡瓦哈尔,82,25,0,2250,0,0,0,13,6,32,1,178.04
2017-2018,101428,Z.费迪拿,96,15,1,1257,3,0,3,6,3,16,0,103.15
2017-2018,101546,高波域,982,16,6,921,2,0,2,12,5,10,1,105.84
2017-2018,102298,波尔蒂略,98,33,5,2482,1,1,2,20,8,29,0,216.54
2017-2018,102300,桑切斯,100,2,1,101,0,0,0,1,0,0,0,12.8
2017-2018,102405,雷西奥,102,22,1,1850,0,1,1,26,4,44,0,147.99
2017-2018,102795,卡里斯,93,10,4,478,0,0,0,10,2,16,0,63.48
2017-2018,102835,鲁本.杜阿尔特,137,24,0,2149,0,0,0,8,0,35,2,165.84
2017-2018,102840,S.雷东多,103,30,3,2426,1,0,1,7,2,15,0,197.81
2017-2018,103005,莱昂纳多,100,36,5,2687,8,0,8,78,28,49,3,243.53
2017-2018,103121,胡安弗兰,93,35,1,3058,0,0,0,24,7,32,1,239.85
2017-2018,103608,比耶托,91,20,11,822,2,0,2,13,4,14,0,127.9
2017-2018,103673,奥托,114,36,0,3204,2,0,2,15,4,37,1,252.06
2017-2018,103738,M.古里路,992,22,7,1438,4,0,4,30,12,23,3,144.29
2017-2018,103750,施文诺夫斯基,992,13,0,1064,1,1,2,19,6,18,0,87.85
2017-2018,103845,多斯桑托斯,992,14,4,980,0,0,0,1,1,3,0,91.89
2017-2018,103941,阿里曼尼,982,2,2,13,0,0,0,2,0,0,0,12.09
2017-2018,104034,卡斯特拉诺,991,23,6,1567,0,0,0,4,2,25,0,149.09
2017-2018,104035,卡斯特拉诺,991,24,1,2027,0,0,0,4,0,30,0,160.07
2017-2018,104038,胡安佩,982,35,1,3064,5,0,5,22,10,7,1,235.83
2017-2018,104040,穆里略,91,17,2,1374,0,0,0,2,0,15,0,120.5
2017-2018,104042,利佐安,991,11,0,990,0,0,0,0,0,3,0,69.52
2017-2018,104050,索布里诺,137,27,12,1461,3,0,3,24,13,32,1,181.09
2017-2018,104055,卢卡斯,82,32,16,1665,4,0,4,33,17,42,0,222.93
2017-2018,104227,伊利,137,31,1,2695,1,0,1,17,4,18,1,211.01
2017-2018,104356,卡布雷拉,98,9,1,720,0,0,0,2,1,2,0,62.57
2017-2018,104684,瓦利,93,17,14,474,3,0,3,15,7,8,0,108.34
2017-2018,105194,J·科里亚,86,21,6,1199,1,0,1,24,6,43,1,140.67
2017-2018,105263,皮里斯,992,29,1,2387,4,1,5,43,15,51,4,206.84
2017-2018,105402,加亚,91,34,1,2918,0,0,0,14,3,45,0,240.69
2017-2018,105750,戈麦斯,84,16,10,659,0,0,0,7,0,5,0,102.28
2017-2018,105752,N.塞梅多,84,20,5,1316,0,0,0,3,2,20,0,134.71
2017-2018,106302,穆瓦拉德,103,2,2,25,0,0,0,0,0,0,0,11.98
2017-2018,107726,哈里洛维奇,991,20,4,1362,2,0,2,38,15,25,0,132.01
2017-2018,109454,L.卢比斯,102,1,1,45,0,0,0,0,0,1,0,6.28
2017-2018,110043,巴拉古尔诺,100,38,0,3413,15,1,16,106,48,77,6,276.87
2017-2018,110071,塞尔吉奥,86,24,1,2155,0,0,0,0,0,3,1,154.95
2017-2018,110296,S.米拿,91,32,15,1549,11,1,12,43,20,35,1,215.83
2017-2018,110312,拿度,100,11,1,921,0,0,0,1,0,0,0,75.33
2017-2018,110479,扎卡里亚,93,23,13,905,0,0,0,25,6,20,0,143.94
2017-2018,111527,布兰科,114,22,0,1980,0,0,0,0,0,0,0,142.53
2017-2018,111780,鲁宾彭拿,131,27,9,1728,1,0,1,12,2,18,0,177.99
2017-2018,112357,鲁本.维佐,91,19,2,1557,0,0,0,3,1,13,0,128.69
2017-2018,112363,A.科雷亚,109,38,11,2292,8,0,8,46,27,49,2,259.65
2017-2018,113162,贾努扎伊,106,28,10,1586,3,0,3,58,14,60,3,191.18
2017-2018,113232,加布里埃尔阿曼多,91,30,1,2622,0,0,0,15,4,19,0,206.28
2017-2018,114354,席思图,114,34,3,2553,5,0,5,52,19,73,0,236.95
2017-2018,114953,F.卡塔比亚,93,20,4,1333,2,0,2,32,9,47,1,137.32
2017-2018,115066,卡帕,131,32,7,2246,0,0,0,6,1,9,0,212.16
2017-2018,115206,桑纳比亚,96,17,9,847,8,0,8,24,13,15,0,114.44
2017-2018,115224,吉梅内斯,109,23,6,1684,1,0,1,12,2,18,0,159.93
2017-2018,115227,莫希卡,982,30,8,2131,0,0,0,22,2,48,1,202.9
2017-2018,115410,佩雷斯,93,35,4,2797,5,3,8,54,26,33,0,238.96
2017-2018,115411,S.桑切斯,102,17,13,417,0,0,0,4,1,6,0,103.89
2017-2018,115412,S.丹格,100,35,3,2790,1,0,1,29,7,30,1,238.13
2017-2018,115498,J.桑切斯,114,22,4,1481,0,0,0,18,5,10,0,141.88
2017-2018,115915,比加斯,991,12,1,896,0,0,0,4,1,6,0,77.72
2017-2018,116001,L.靴南迪斯,102,36,0,3240,0,0,0,4,0,10,1,237.48
2017-2018,116072,塞尔吉奥.莱昂,96,31,8,1981,11,0,11,65,29,39,1,205.59
2017-2018,116074,P.圭拉多,982,8,0,690,1,0,1,8,3,3,0,54.1
2017-2018,116147,鲁尔艾宾图萨,93,20,1,1749,1,0,1,11,2,14,0,129.42
2017-2018,116152,摩拉里斯,103,35,0,3080,7,3,10,61,25,43,4,244.91
2017-2018,116163,M.加西亚,137,30,3,2438,3,0,3,26,8,72,2,209.75
2017-2018,116206,F.卡拉巴路,982,28,8,1810,1,1,2,32,14,15,0,186.21
2017-2018,116208,B.卡布雷拉,98,19,2,1537,0,0,0,4,0,10,1,130.18
2017-2018,116276,辛度拉美利斯,86,13,6,715,0,0,0,24,10,22,0,82.9
2017-2018,116291,塞梅多,107,3,1,141,0,0,0,0,0,1,0,17.87
2017-2018,116354,P.邦斯,982,31,1,2564,0,0,0,14,4,34,0,205.56
2017-2018,116442,伊德耶,102,13,5,731,1,0,1,10,3,14,0,80.24
2017-2018,116466,P.奥利维拉,131,26,1,2215,0,0,0,14,4,12,1,180.49
2017-2018,116557,利奥斯,106,27,1,2330,3,0,3,20,7,27,0,183.78
2017-2018,116561,帕切科,137,38,1,3357,0,0,0,0,0,3,1,256.57
2017-2018,116572,蒙塔纳,84,2,0,145,0,0,0,0,0,2,0,13.62
2017-2018,116740,J.卡莱里,991,37,3,3111,4,5,9,98,29,76,1,243.47
2017-2018,117258,S.伊萨克.费尔南德斯.维拉,102,9,2,506,0,0,0,8,1,26,1,59.47
2017-2018,117764,多梅内克桑切斯,91,5,0,450,0,0,0,0,0,1,0,34.21
2017-2018,117850,卢卡斯.埃尔南德斯,109,26,2,2141,0,0,0,6,1,46,2,189.61
2017-2018,117852,D.里扎,96,24,1,2080,2,0,2,18,6,10,0,155.79
2017-2018,118540,D.里戈,992,26,0,2295,2,0,2,25,8,43,3,183.2
2017-2018,118871,卡马拉沙,96,24,10,1254,1,0,1,21,4,31,0,151.69
2017-2018,119080,德马科斯,92,21,1,1662,1,0,1,13,7,10,0,141.04
2017-2018,119159,F.瑞卡,102,14,1,1111,0,0,0,6,3,6,0,95.13
2017-2018,119231,萨尔杜亚,992,30,1,2593,1,0,1,11,3,61,2,210.18
2017-2018,119258,洛姆班,131,13,2,995,1,0,1,4,1,5,3,88.95
2017-2018,119326,卡洛斯,137,12,3,894,0,0,0,4,1,13,0,74.17
2017-2018,119357,杰弗森里尔玛,103,26,1,2139,0,0,0,27,1,51,0,182.15
2017-2018,119396,切马,103,15,2,1178,0,0,0,3,2,8,0,95.48
2017-2018,119513,P.洛佩斯,96,5,1,411,0,0,0,0,0,0,0,30.54
2017-2018,119535,彭拿兰达,102,13,2,808,0,0,0,22,6,27,0,83.3
2017-2018,119973,阿森西奥,82,32,13,1838,6,0,6,56,23,27,2,223.83
2017-2018,120714,保罗·洛佩斯,100,29,1,2566,0,0,0,0,0,5,0,196.74
2017-2018,121118,哈达迪,137,33,5,2469,10,0,10,62,23,114,2,224.4
2017-2018,121356,Y·米纳,84,5,1,370,0,0,0,3,1,6,0,34.79
2017-2018,121367,阿拉纳,86,3,1,192,0,0,0,0,0,2,0,18.92
2017-2018,121631,罗格.马丁内斯,107,7,5,225,1,0,1,11,3,10,0,44.53
2017-2018,122038,梅德兰,137,18,8,1014,2,0,2,18,6,14,0,118.09
2017-2018,123669,马科斯略伦特,82,13,8,540,0,0,0,6,0,4,0,83.86
2017-2018,123884,塞巴洛斯,82,11,7,396,2,0,2,7,4,15,1,73.08
2017-2018,123962,U.布斯蒂萨,992,20,2,1636,2,0,2,15,9,19,1,136.49
2017-2018,124016,G.鲁利,106,26,0,2340,0,0,0,0,0,2,0,166.94
2017-2018,124208,祖兰,992,1,0,90,0,0,0,0,0,0,0,5.93
2017-2018,124220,F.弗罗林,93,29,13,1629,7,0,7,56,22,20,0,184.49
2017-2018,124247,D.卡利路,131,32,0,2781,0,0,0,20,1,25,0,216.62
2017-2018,124361,納蘭祖,992,13,7,557,1,0,1,9,3,3,0,82.51
2017-2018,124363,A.东尼奥,103,12,0,1080,0,0,0,2,1,8,0,79.43
2017-2018,124449,卡斯蒂里奥,107,1,1,13,4,0,4,2,1,1,0,6.9
2017-2018,124473,托马斯·帕尔特伊,109,33,5,2382,3,0,3,22,3,35,4,235.69
2017-2018,124476,莫雷诺,131,35,10,2423,5,1,6,40,17,19,3,237.2
2017-2018,124521,洛佩斯,103,29,12,1760,3,1,4,39,10,21,2,192.59
2017-2018,124551,艾文奴保定,103,25,15,1267,6,0,6,42,16,38,1,165.74
2017-2018,124609,阿哥斯塔,102,16,11,605,0,0,0,14,4,15,0,99.52
2017-2018,124646,贡萨洛.盖德斯,91,33,6,2442,5,0,5,61,22,72,4,236.48
