赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2015-2016,78255,佩雷斯,100,32,5,2466,7,0,7,48,18,55,2,219.92
2015-2016,78262,马里奥,107,33,1,2874,2,0,2,33,7,12,0,228.64
2015-2016,78266,比比,131,34,7,2245,3,0,3,79,21,22,0,233.61
2015-2016,78367,埃斯库德罗,86,15,2,1172,1,0,1,12,5,22,1,103.55
2015-2016,78414,索郎姆杜萨,106,15,1,1129,1,0,1,18,7,34,0,107.36
2015-2016,78416,格列兹曼,109,38,2,3057,21,1,22,93,44,36,6,284.5
2015-2016,78434,皮纳,137,26,7,1632,0,0,0,7,2,25,0,175.04
2015-2016,78474,萨维奇,109,12,2,925,0,0,0,2,0,4,0,83.74
2015-2016,78731,罗德里戈,91,25,10,1367,2,0,2,37,16,24,0,165.34
2015-2016,78755,诺利托,86,29,2,2473,11,1,12,81,33,60,5,214.28
2015-2016,78841,伊拜·戈麦斯,137,5,4,115,0,0,0,2,0,0,0,30.29
2015-2016,78906,伊斯科,82,31,10,1832,3,0,3,40,12,39,0,219.16
2015-2016,78918,伊利亚拉门迪,106,33,1,2847,1,0,1,23,7,59,2,239.37
2015-2016,79088,圭德蒂,114,35,23,1233,6,1,7,32,18,26,0,222.64
2015-2016,79115,瓦拉内,82,26,3,2187,0,0,0,12,2,9,0,179.17
2015-2016,79276,科瓦西奇,82,25,17,1048,0,0,0,10,3,14,0,162.15
2015-2016,80292,阿尔瓦罗,107,36,0,3227,0,0,0,14,5,41,0,240.33
2015-2016,80737,纳乔,82,16,4,1153,0,0,0,5,2,14,0,111.73
2015-2016,82014,S.罗伯托,84,31,10,1912,0,0,0,16,3,22,1,214.65
2015-2016,82028,奥耶尔,103,3,1,227,0,0,0,0,0,1,0,18.15
2015-2016,82787,P·埃尔南德斯,114,20,4,1411,1,0,1,13,3,58,1,138.25
2015-2016,83553,达米安,98,31,1,2664,0,0,0,10,1,35,0,205.06
2015-2016,84488,杜阿尔特,100,14,1,1195,1,0,1,8,3,2,0,94.87
2015-2016,84545,普朗纳斯,982,24,6,1677,0,0,0,3,1,12,0,154.85
2015-2016,84547,蒙托亚,91,13,0,1167,0,0,0,1,0,22,1,91.58
