赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2016-2017,7,皇家社会,106,19,10,5,4,30,24,6,0.526,0.263,0.211,1.58,1.26,35
2016-2017,8,拉斯帕尔马斯,991,19,9,6,4,33,25,8,0.474,0.316,0.211,1.74,1.32,33
2016-2017,9,埃瓦尔,131,19,10,3,6,29,21,8,0.526,0.158,0.316,1.53,1.11,33
2016-2017,10,马拉加,102,19,10,2,7,32,25,7,0.526,0.105,0.368,1.68,1.32,32
2016-2017,11,西班牙人,100,19,8,5,6,28,24,4,0.421,0.263,0.316,1.47,1.26,29
2016-2017,12,塞尔塔,114,19,9,2,8,30,32,-2,0.474,0.105,0.421,1.58,1.68,29
2016-2017,13,阿拉维斯,137,19,7,8,4,19,21,-2,0.368,0.421,0.211,1.0,1.11,29
2016-2017,14,巴伦西亚,91,19,8,4,7,32,32,0,0.421,0.211,0.368,1.68,1.68,28
2016-2017,15,拉科鲁尼亚,93,19,7,5,7,27,23,4,0.368,0.263,0.368,1.42,1.21,26
2016-2017,16,皇家贝蒂斯,96,19,6,7,6,22,24,-2,0.316,0.368,0.316,1.16,1.26,25
2016-2017,17,雷加利斯,992,19,5,6,8,22,23,-1,0.263,0.316,0.421,1.16,1.21,21
2016-2017,18,希洪竞技,113,19,5,4,10,26,38,-12,0.263,0.211,0.526,1.37,2.0,19
2016-2017,19,格拉那达,121,19,4,4,11,17,32,-15,0.211,0.211,0.579,0.89,1.68,16
2016-2017,20,奥萨苏纳,94,19,2,7,10,23,39,-16,0.105,0.368,0.526,1.21,2.05,13
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2017-2018,1,巴塞罗那,84,19,16,3,0,53,11,42,0.842,0.158,0.0,2.79,0.58,51
2017-2018,2,马德里竞技,109,19,12,6,1,30,8,22,0.632,0.316,0.053,1.58,0.42,42
2017-2018,3,巴伦西亚,91,19,13,3,3,36,16,20,0.684,0.158,0.158,1.89,0.84,42
2017-2018,4,皇家马德里,82,19,12,4,3,54,20,34,0.632,0.211,0.158,2.84,1.05,40
2017-2018,5,塞维利亚,86,19,11,5,3,31,22,9,0.579,0.263,0.158,1.63,1.16,38
2017-2018,6,比利亚雷亚尔,107,19,11,3,5,35,22,13,0.579,0.158,0.263,1.84,1.16,36
2017-2018,7,皇家贝蒂斯,96,19,10,4,5,35,31,4,0.526,0.211,0.263,1.84,1.63,34
2017-2018,8,皇家社会,106,19,10,3,6,47,29,18,0.526,0.158,0.316,2.47,1.53,33
2017-2018,9,塞尔塔,114,19,8,8,3,34,23,11,0.421,0.421,0.158,1.79,1.21,32
2017-2018,10,赫塔菲,98,19,9,4,6,26,13,13,0.474,0.211,0.316,1.37,0.68,31
2017-2018,11,雷加利斯,992,19,9,4,6,19,19,0,0.474,0.211,0.316,1.0,1.0,31
2017-2018,12,西班牙人,100,19,8,6,5,20,16,4,0.421,0.316,0.263,1.05,0.84,30
2017-2018,13,埃瓦尔,131,19,8,4,7,26,19,7,0.421,0.211,0.368,1.37,1.0,28
2017-2018,14,阿拉维斯,137,19,9,1,9,21,23,-2,0.474,0.053,0.474,1.11,1.21,28
2017-2018,15,赫罗纳,982,19,8,3,8,26,22,4,0.421,0.158,0.421,1.37,1.16,27
2017-2018,16,莱万特,103,19,7,6,6,25,28,-3,0.368,0.316,0.316,1.32,1.47,27
2017-2018,17,毕尔巴鄂竞技,92,19,6,8,5,19,16,3,0.316,0.421,0.263,1.0,0.84,26
2017-2018,18,拉科鲁尼亚,93,19,4,6,9,22,33,-11,0.211,0.316,0.474,1.16,1.74,18
2017-2018,19,马拉加,102,19,4,3,12,14,27,-13,0.211,0.158,0.632,0.74,1.42,15
2017-2018,20,拉斯帕尔马斯,991,19,4,2,13,15,38,-23,0.211,0.105,0.684,0.79,2.0,14
