赛季,轮次,时间,主队红牌数,主队名称,主队ID,主队上轮名次,比分,半场比分,客队红牌数,客队名称,客队ID,客队上轮名次
2003-2004,14,2003-12-03 04:30,0,皇家社会,106,,0-0,0-0,0,巴伦西亚,91,
2003-2004,14,2003-12-04 03:00,0,皇家贝蒂斯,96,,1-1,0-0,0,穆尔西亚,117,
2003-2004,14,2003-12-04 03:00,0,塞尔塔,114,,2-2,1-1,0,阿尔巴切特,110,
2003-2004,14,2003-12-04 03:00,0,西班牙人,100,,0-1,0-0,0,奥萨苏纳,94,
2003-2004,14,2003-12-04 03:00,0,瓦拉多利德,123,,1-1,0-0,0,拉科鲁尼亚,93,
2003-2004,14,2003-12-04 03:00,0,比利亚雷亚尔,107,,0-2,0-0,0,马洛卡,101,
2003-2004,14,2003-12-04 03:00,0,马拉加,102,,5-1,2-0,0,巴塞罗那,84,
2003-2004,14,2003-12-04 04:30,0,皇家马德里,82,,2-0,2-0,0,马德里竞技,109,
2003-2004,14,2003-12-05 04:00,0,桑坦德竞技,104,,0-4,0-3,0,塞维利亚,86,
2003-2004,14,2003-12-05 04:00,0,萨拉戈萨,111,,2-2,1-2,0,毕尔巴鄂竞技,92,
2003-2004,15,2003-12-07 02:30,0,皇家社会,106,,0-4,0-2,0,皇家贝蒂斯,96,
2003-2004,15,2003-12-07 02:30,0,拉科鲁尼亚,93,,1-0,0-0,0,马拉加,102,
2003-2004,15,2003-12-07 02:30,0,奥萨苏纳,94,,3-2,1-1,0,塞尔塔,114,
2003-2004,15,2003-12-07 04:30,0,巴塞罗那,84,,1-2,0-1,0,皇家马德里,82,
2003-2004,15,2003-12-07 23:59,0,穆尔西亚,117,,1-1,1-0,0,比利亚雷亚尔,107,
2003-2004,15,2003-12-07 23:59,0,马洛卡,101,,1-0,1-0,0,瓦拉多利德,123,
2003-2004,15,2003-12-07 23:59,0,阿尔巴切特,110,,4-0,1-0,0,桑坦德竞技,104,
2003-2004,15,2003-12-07 23:59,0,塞维利亚,86,,3-2,1-2,0,萨拉戈萨,111,
2003-2004,15,2003-12-08 02:00,0,马德里竞技,109,,2-0,1-0,0,西班牙人,100,
2003-2004,15,2003-12-08 04:00,0,巴伦西亚,91,,2-1,1-0,0,毕尔巴鄂竞技,92,
2003-2004,16,2003-12-14 02:30,0,西班牙人,100,,1-3,1-3,0,巴塞罗那,84,
2003-2004,16,2003-12-14 04:30,0,塞尔塔,114,,2-2,2-1,0,马德里竞技,109,
2003-2004,16,2003-12-14 04:30,0,比利亚雷亚尔,107,,2-0,2-0,0,皇家社会,106,
2003-2004,16,2003-12-14 23:59,0,皇家贝蒂斯,96,,0-1,0-1,0,巴伦西亚,91,
2003-2004,16,2003-12-14 23:59,0,瓦拉多利德,123,,0-0,0-0,0,穆尔西亚,117,
2003-2004,16,2003-12-14 23:59,0,马拉加,102,,3-1,1-1,0,马洛卡,101,
2003-2004,16,2003-12-14 23:59,0,桑坦德竞技,104,,0-0,0-0,0,奥萨苏纳,94,
2003-2004,16,2003-12-14 23:59,0,萨拉戈萨,111,,0-1,0-0,0,阿尔巴切特,110,
2003-2004,16,2003-12-15 02:00,0,皇家马德里,82,,2-1,1-0,0,拉科鲁尼亚,93,
2003-2004,16,2003-12-15 04:00,0,毕尔巴鄂竞技,92,,2-1,2-1,0,塞维利亚,86,
2003-2004,17,2003-12-21 00:30,0,皇家社会,106,,1-3,1-1,0,瓦拉多利德,123,
2003-2004,17,2003-12-21 02:30,0,马德里竞技,109,,2-2,0-0,0,桑坦德竞技,104,
2003-2004,17,2003-12-21 04:30,0,巴伦西亚,91,,1-0,0-0,0,塞维利亚,86,
2003-2004,17,2003-12-21 23:59,0,阿尔巴切特,110,,1-1,1-1,0,毕尔巴鄂竞技,92,
2003-2004,17,2003-12-21 23:59,0,皇家贝蒂斯,96,,1-3,0-0,0,比利亚雷亚尔,107,
2003-2004,17,2003-12-21 23:59,0,拉科鲁尼亚,93,,2-1,1-1,0,西班牙人,100,
2003-2004,17,2003-12-21 23:59,0,奥萨苏纳,94,,0-1,0-1,0,萨拉戈萨,111,
2003-2004,17,2003-12-21 23:59,0,穆尔西亚,117,,1-2,1-1,0,马拉加,102,
2003-2004,17,2003-12-22 02:00,0,马洛卡,101,,1-3,1-1,0,皇家马德里,82,
2003-2004,17,2003-12-22 04:00,0,巴塞罗那,84,,1-1,0-1,0,塞尔塔,114,
2003-2004,18,2004-01-04 02:30,0,皇家马德里,82,,1-0,1-0,0,穆尔西亚,117,
2003-2004,18,2004-01-04 04:30,0,塞尔塔,114,,0-5,0-2,0,拉科鲁尼亚,93,
2003-2004,18,2004-01-04 04:30,0,萨拉戈萨,111,,0-0,0-0,0,马德里竞技,109,
2003-2004,18,2004-01-04 23:59,0,瓦拉多利德,123,,0-0,0-0,0,皇家贝蒂斯,96,
2003-2004,18,2004-01-04 23:59,0,马拉加,102,,1-2,1-2,0,皇家社会,106,
2003-2004,18,2004-01-04 23:59,0,西班牙人,100,,2-0,1-0,0,马洛卡,101,
2003-2004,18,2004-01-04 23:59,0,毕尔巴鄂竞技,92,,1-1,1-1,0,奥萨苏纳,94,
2003-2004,18,2004-01-04 23:59,0,塞维利亚,86,,2-0,1-0,0,阿尔巴切特,110,
2003-2004,18,2004-01-05 02:00,0,桑坦德竞技,104,,3-0,0-0,0,巴塞罗那,84,
2003-2004,18,2004-01-05 04:00,0,巴伦西亚,91,,4-2,0-1,0,比利亚雷亚尔,107,
2003-2004,19,2004-01-11 02:30,0,阿尔巴切特,110,,0-1,0-1,0,巴伦西亚,91,
2003-2004,19,2004-01-11 02:30,0,马洛卡,101,,2-4,2-1,0,塞尔塔,114,
2003-2004,19,2004-01-11 04:30,0,皇家社会,106,,1-0,0-0,0,皇家马德里,82,
2003-2004,19,2004-01-11 23:59,0,皇家贝蒂斯,96,,3-0,1-0,0,马拉加,102,
2003-2004,19,2004-01-11 23:59,0,拉科鲁尼亚,93,,1-1,1-0,0,桑坦德竞技,104,
