轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
9,2013-10-20 23:00,0,阿尔梅里亚,20,0-1,0-0,1,巴列卡诺,19,平/半,平/半,2.5/3,1
9,2013-10-21 01:00,0,皇家贝蒂斯,14,1-2,1-2,1,艾尔切,13,平/半,平/半,2.5,1
9,2013-10-21 03:00,0,瓦拉多利德,18,2-2,0-2,0,塞维利亚,12,平手,平手,2.5,1
9,2013-10-22 02:00,0,塞尔塔,19,0-1,0-0,0,莱万特,12,平/半,平/半,2/2.5,0.5/1
9,2013-10-22 04:00,0,毕尔巴鄂竞技,7,2-0,2-0,1,比利亚雷亚尔,4,平手,平手,2.5,1
10,2013-10-26 03:00,0,巴列卡诺,14,0-3,0-2,0,瓦拉多利德,17,平/半,平/半,2.5,1
10,2013-10-26 22:00,0,马拉加,14,0-5,0-2,0,塞尔塔,19,平/半,平/半,2.5,1
10,2013-10-26 23:59,0,巴塞罗那,1,2-1,1-0,0,皇家马德里,3,平/半,平/半,3,1/1.5
10,2013-10-27 02:00,0,艾尔切,10,0-1,0-1,0,格拉那达,17,平/半,平/半,2/2.5,0.5/1
10,2013-10-27 04:00,0,莱万特,9,3-0,2-0,0,西班牙人,7,平/半,平/半,2/2.5,0.5/1
10,2013-10-27 19:00,0,塞维利亚,12,2-1,0-0,1,奥萨苏纳,19,半球,半球,2.5/3,1/1.5
10,2013-10-27 23:59,0,比利亚雷亚尔,4,4-1,2-0,0,巴伦西亚,9,平手,平手,2.5/3,1
10,2013-10-28 02:00,0,皇家社会,13,3-0,1-0,0,阿尔梅里亚,20,平/半,平/半,2.5/3,1
10,2013-10-28 04:00,0,马德里竞技,2,5-0,1-0,0,皇家贝蒂斯,18,半/一,半/一,3,1/1.5
10,2013-10-29 05:00,0,赫塔菲,5,0-1,0-1,0,毕尔巴鄂竞技,6,平手,平手,2/2.5,0.5/1
11,2013-10-30 03:00,0,西班牙人,8,0-0,0-0,0,马拉加,16,平手,平手,2/2.5,1
11,2013-10-30 05:00,0,塞尔塔,15,0-3,0-1,0,巴塞罗那,1,半/一,半/一,3.5,1.5
11,2013-10-31 03:00,0,瓦拉多利德,14,2-2,0-1,0,皇家社会,9,平手,平手,2.5,1
11,2013-10-31 03:00,0,巴伦西亚,11,1-2,1-0,0,阿尔梅里亚,20,半球,半球,3,1/1.5
11,2013-10-31 05:00,1,奥萨苏纳,19,3-1,2-0,0,巴列卡诺,17,平/半,平/半,2/2.5,1
