赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2010-2011,13,莱万特,3,38,12,9,17,41,52,-11,0.316,0.237,0.447,1.08,1.37,45
2010-2011,14,萨拉戈萨,9,38,12,9,17,40,53,-13,0.316,0.237,0.447,1.05,1.39,45
2010-2011,15,皇家社会,0,38,14,3,21,49,66,-17,0.368,0.079,0.553,1.29,1.74,45
2010-2011,16,赫塔菲,7,38,12,8,18,49,60,-11,0.316,0.211,0.474,1.29,1.58,44
2010-2011,17,马洛卡,4,38,12,8,18,41,56,-15,0.316,0.211,0.474,1.08,1.47,44
2010-2011,18,拉科鲁尼亚,5,38,10,13,15,31,47,-16,0.263,0.342,0.395,0.82,1.24,43
2010-2011,19,赫库斯,8,38,9,8,21,36,60,-24,0.237,0.211,0.553,0.95,1.58,35
2010-2011,20,阿尔梅里亚,4,38,6,12,20,36,70,-34,0.158,0.316,0.526,0.95,1.84,30
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2006-2007,1,皇家马德里,11,38,23,7,8,66,40,26,0.605,0.184,0.211,1.74,1.05,76
2006-2007,2,巴塞罗那,7,38,22,10,6,78,33,45,0.579,0.263,0.158,2.05,0.87,76
2006-2007,3,塞维利亚,11,38,21,8,9,64,35,29,0.553,0.211,0.237,1.68,0.92,71
2006-2007,4,巴伦西亚,9,38,20,6,12,57,42,15,0.526,0.158,0.316,1.5,1.11,66
2006-2007,5,比利亚雷亚尔,6,38,18,8,12,48,44,4,0.474,0.211,0.316,1.26,1.16,62
2006-2007,6,萨拉戈萨,9,38,16,12,10,55,43,12,0.421,0.316,0.263,1.45,1.13,60
2006-2007,7,马德里竞技,10,38,17,9,12,46,39,7,0.447,0.237,0.316,1.21,1.03,60
2006-2007,8,维尔瓦,3,38,15,9,14,54,52,2,0.395,0.237,0.368,1.42,1.37,54
2006-2007,9,赫塔菲,6,38,14,10,14,39,33,6,0.368,0.263,0.368,1.03,0.87,52
2006-2007,10,桑坦德竞技,9,38,12,14,12,42,48,-6,0.316,0.368,0.316,1.11,1.26,50
2006-2007,11,西班牙人,9,38,12,13,13,46,53,-7,0.316,0.342,0.342,1.21,1.39,49
2006-2007,12,马洛卡,5,38,14,7,17,41,47,-6,0.368,0.184,0.447,1.08,1.24,49
2006-2007,13,拉科鲁尼亚,11,38,12,11,15,32,45,-13,0.316,0.289,0.395,0.84,1.18,47
2006-2007,14,奥萨苏纳,5,38,13,7,18,51,49,2,0.342,0.184,0.474,1.34,1.29,46
2006-2007,15,莱万特,14,38,10,12,16,37,53,-16,0.263,0.316,0.421,0.97,1.39,42
2006-2007,16,皇家贝蒂斯,11,38,8,16,14,36,49,-13,0.211,0.421,0.368,0.95,1.29,40
2006-2007,17,毕尔巴鄂竞技,8,38,10,10,18,44,62,-18,0.263,0.263,0.474,1.16,1.63,40
2006-2007,18,塞尔塔,12,38,10,9,19,40,59,-19,0.263,0.237,0.5,1.05,1.55,39
2006-2007,19,皇家社会,5,38,8,11,19,32,47,-15,0.211,0.289,0.5,0.84,1.24,35
2006-2007,20,塔拉戈纳,7,38,7,7,24,34,69,-35,0.184,0.184,0.632,0.89,1.82,28
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2009-2010,1,巴塞罗那,5,38,31,6,1,98,24,74,0.816,0.158,0.026,2.58,0.63,99
2009-2010,2,皇家马德里,5,38,31,3,4,102,35,67,0.816,0.079,0.105,2.68,0.92,96
2009-2010,3,巴伦西亚,9,38,21,8,9,59,40,19,0.553,0.211,0.237,1.55,1.05,71
2009-2010,4,塞维利亚,10,38,19,6,13,65,49,16,0.5,0.158,0.342,1.71,1.29,63
2009-2010,5,马洛卡,4,38,18,8,12,59,44,15,0.474,0.211,0.316,1.55,1.16,62
2009-2010,6,赫塔菲,4,38,17,7,14,58,48,10,0.447,0.184,0.368,1.53,1.26,58
2009-2010,7,比利亚雷亚尔,11,38,16,8,14,58,57,1,0.421,0.211,0.368,1.53,1.5,56
2009-2010,8,毕尔巴鄂竞技,10,38,15,9,14,50,53,-3,0.395,0.237,0.368,1.32,1.39,54
2009-2010,9,马德里竞技,7,38,13,8,17,57,61,-4,0.342,0.211,0.447,1.5,1.61,47
2009-2010,10,拉科鲁尼亚,6,38,13,8,17,35,49,-14,0.342,0.211,0.447,0.92,1.29,47
2009-2010,11,西班牙人,9,38,11,11,16,29,46,-17,0.289,0.289,0.421,0.76,1.21,44
2009-2010,12,奥萨苏纳,9,38,11,10,17,37,46,-9,0.289,0.263,0.447,0.97,1.21,43
2009-2010,13,阿尔梅里亚,6,38,10,12,16,43,55,-12,0.263,0.316,0.421,1.13,1.45,42
2009-2010,14,萨拉戈萨,6,38,10,11,17,46,64,-18,0.263,0.289,0.447,1.21,1.68,41
2009-2010,15,希洪竞技,6,38,9,13,16,36,51,-15,0.237,0.342,0.421,0.95,1.34,40
2009-2010,16,桑坦德竞技,7,38,9,12,17,42,59,-17,0.237,0.316,0.447,1.11,1.55,39
2009-2010,17,马拉加,10,38,7,16,15,42,48,-6,0.184,0.421,0.395,1.11,1.26,37
2009-2010,18,瓦拉多利德,11,38,7,15,16,37,62,-25,0.184,0.395,0.421,0.97,1.63,36
2009-2010,19,特內里费,4,38,9,9,20,40,74,-34,0.237,0.237,0.526,1.05,1.95,36
2009-2010,20,萨雷斯,14,38,8,10,20,38,66,-28,0.211,0.263,0.526,1.0,1.74,34
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2011-2012,1,皇家马德里,5,38,32,4,2,121,32,89,0.842,0.105,0.053,3.18,0.84,100
2011-2012,2,巴塞罗那,4,38,28,7,3,114,29,85,0.737,0.184,0.079,3.0,0.76,91
2011-2012,3,巴伦西亚,6,38,17,10,11,59,44,15,0.447,0.263,0.289,1.55,1.16,61
2011-2012,4,马拉加,7,38,17,7,14,54,53,1,0.447,0.184,0.368,1.42,1.39,58
2011-2012,5,马德里竞技,4,38,15,11,12,53,46,7,0.395,0.289,0.316,1.39,1.21,56
2011-2012,6,莱万特,3,38,16,7,15,54,50,4,0.421,0.184,0.395,1.42,1.32,55
2011-2012,7,奥萨苏纳,8,38,13,15,10,44,61,-17,0.342,0.395,0.263,1.16,1.61,54
2011-2012,8,马洛卡,6,38,14,10,14,42,46,-4,0.368,0.263,0.368,1.11,1.21,52
2011-2012,9,塞维利亚,7,38,13,11,14,48,47,1,0.342,0.289,0.368,1.26,1.24,50
2011-2012,10,毕尔巴鄂竞技,8,38,12,13,13,49,52,-3,0.316,0.342,0.342,1.29,1.37,49
2011-2012,11,皇家社会,8,38,12,11,15,46,52,-6,0.316,0.289,0.395,1.21,1.37,47
2011-2012,12,皇家贝蒂斯,7,38,13,8,17,47,56,-9,0.342,0.211,0.447,1.24,1.47,47
2011-2012,13,赫塔菲,8,38,12,11,15,40,51,-11,0.316,0.289,0.395,1.05,1.34,47
2011-2012,14,西班牙人,7,38,12,10,16,46,56,-10,0.316,0.263,0.421,1.21,1.47,46
2011-2012,15,巴列卡诺,4,38,13,4,21,53,73,-20,0.342,0.105,0.553,1.39,1.92,43
2011-2012,16,萨拉戈萨,9,38,12,7,19,36,61,-25,0.316,0.184,0.5,0.95,1.61,43
2011-2012,17,格拉那达,10,38,12,6,20,35,56,-21,0.316,0.158,0.526,0.92,1.47,42
2011-2012,18,比利亚雷亚尔,5,38,9,14,15,39,53,-14,0.237,0.368,0.395,1.03,1.39,41
2011-2012,19,希洪竞技,5,38,10,7,21,42,69,-27,0.263,0.184,0.553,1.11,1.82,37
2011-2012,20,桑坦德竞技,8,38,4,15,19,28,63,-35,0.105,0.395,0.5,0.74,1.66,27
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2016-2017,1,皇家马德里,2,38,29,6,3,106,41,65,0.763,0.158,0.079,2.79,1.08,93
2016-2017,2,巴塞罗那,1,38,28,6,4,116,37,79,0.737,0.158,0.105,3.05,0.97,90
2016-2017,3,马德里竞技,3,38,23,9,6,70,27,43,0.605,0.237,0.158,1.84,0.71,78
2016-2017,4,塞维利亚,4,38,21,9,8,69,49,20,0.553,0.237,0.211,1.82,1.29,72
2016-2017,5,比利亚雷亚尔,4,38,19,10,9,56,33,23,0.5,0.263,0.237,1.47,0.87,67
2016-2017,6,皇家社会,6,38,19,7,12,59,53,6,0.5,0.184,0.316,1.55,1.39,64
2016-2017,7,毕尔巴鄂竞技,2,38,19,6,13,53,43,10,0.5,0.158,0.342,1.39,1.13,63
2016-2017,8,西班牙人,2,38,15,11,12,49,50,-1,0.395,0.289,0.316,1.29,1.32,56
2016-2017,9,阿拉维斯,5,38,14,13,11,41,43,-2,0.368,0.342,0.289,1.08,1.13,55
2016-2017,10,埃瓦尔,7,38,15,9,14,56,51,5,0.395,0.237,0.368,1.47,1.34,54
2016-2017,11,马拉加,7,38,12,10,16,49,55,-6,0.316,0.263,0.421,1.29,1.45,46
2016-2017,12,巴伦西亚,6,38,13,7,18,56,65,-9,0.342,0.184,0.474,1.47,1.71,46
2016-2017,13,塞尔塔,8,38,13,6,19,53,69,-16,0.342,0.158,0.5,1.39,1.82,45
2016-2017,14,拉斯帕尔马斯,6,38,10,9,19,53,74,-21,0.263,0.237,0.5,1.39,1.95,39
2016-2017,15,皇家贝蒂斯,5,38,10,9,19,41,64,-23,0.263,0.237,0.5,1.08,1.68,39
2016-2017,16,拉科鲁尼亚,4,38,8,12,18,43,61,-18,0.211,0.316,0.474,1.13,1.61,36
2016-2017,17,雷加利斯,3,38,8,11,19,36,55,-19,0.211,0.289,0.5,0.95,1.45,35
2016-2017,18,希洪竞技,3,38,7,10,21,42,72,-30,0.184,0.263,0.553,1.11,1.89,31
2016-2017,19,奥萨苏纳,3,38,4,10,24,40,94,-54,0.105,0.263,0.632,1.05,2.47,22
2016-2017,20,格拉那达,6,38,4,8,26,30,82,-52,0.105,0.211,0.684,0.79,2.16,20
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2014-2015,1,巴塞罗那,3,38,30,4,4,110,21,89,0.789,0.105,0.105,2.89,0.55,94
2014-2015,2,皇家马德里,3,38,30,2,6,118,38,80,0.789,0.053,0.158,3.11,1.0,92
2014-2015,3,马德里竞技,5,38,23,9,6,67,29,38,0.605,0.237,0.158,1.76,0.76,78
2014-2015,4,巴伦西亚,9,38,22,11,5,70,32,38,0.579,0.289,0.132,1.84,0.84,77
2014-2015,5,塞维利亚,2,38,23,7,8,71,45,26,0.605,0.184,0.211,1.87,1.18,76
2014-2015,6,比利亚雷亚尔,2,38,16,12,10,48,37,11,0.421,0.316,0.263,1.26,0.97,60
2014-2015,7,毕尔巴鄂竞技,4,38,15,10,13,42,41,1,0.395,0.263,0.342,1.11,1.08,55
2014-2015,8,塞尔塔,5,38,13,12,13,47,44,3,0.342,0.316,0.342,1.24,1.16,51
2014-2015,9,马拉加,8,38,14,8,16,42,48,-6,0.368,0.211,0.421,1.11,1.26,50
2014-2015,10,西班牙人,6,38,13,10,15,47,51,-4,0.342,0.263,0.395,1.24,1.34,49
2014-2015,11,巴列卡诺,6,38,15,4,19,46,68,-22,0.395,0.105,0.5,1.21,1.79,49
2014-2015,12,皇家社会,1,38,11,13,14,44,51,-7,0.289,0.342,0.368,1.16,1.34,46
2014-2015,13,艾尔切,6,38,11,8,19,35,62,-27,0.289,0.211,0.5,0.92,1.63,41
2014-2015,14,赫塔菲,4,38,10,7,21,33,64,-31,0.263,0.184,0.553,0.87,1.68,37
2014-2015,15,莱万特,3,38,9,10,19,34,67,-33,0.237,0.263,0.5,0.89,1.76,37
2014-2015,16,埃瓦尔,5,38,9,8,21,34,55,-21,0.237,0.211,0.553,0.89,1.45,35
2014-2015,17,拉科鲁尼亚,4,38,7,14,17,35,60,-25,0.184,0.368,0.447,0.92,1.58,35
2014-2015,18,格拉那达,5,38,7,14,17,29,64,-35,0.184,0.368,0.447,0.76,1.68,35
2014-2015,19,阿尔梅里亚,11,38,8,8,22,35,64,-29,0.211,0.211,0.579,0.92,1.68,32
2014-2015,20,科尔多瓦,9,38,3,11,24,22,68,-46,0.079,0.289,0.632,0.58,1.79,20
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
