,轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,全场让球,半场让球,全场大小,半场大小,客队红牌,客队名称,客队名次,主队得分,客队得分,主队半场得分,客队半场得分,主队结果,比赛日期
102,11,2013-10-31 03:00,0,瓦拉多利德,14,2-2,0-1,平手,平手,2.5,1,0,皇家社会,9,2,2,0,1,0,20131031
103,11,2013-10-31 03:00,0,巴伦西亚,11,1-2,1-0,半球,半球,3,1/1.5,0,阿尔梅里亚,20,1,2,1,0,1,20131031
104,11,2013-10-31 05:00,1,奥萨苏纳,19,3-1,2-0,平/半,平/半,2/2.5,1,0,巴列卡诺,17,3,1,2,0,2,20131031
105,11,2013-10-31 05:00,0,皇家马德里,3,7-3,3-2,半/一,半/一,3.5,1.5,1,塞维利亚,10,7,3,3,2,2,20131031
106,11,2013-11-01 03:00,1,比利亚雷亚尔,4,0-2,0-1,平/半,平/半,2.5,1,0,赫塔菲,6,0,2,0,1,1,20131101
107,11,2013-11-01 03:00,0,格拉那达,13,1-2,0-1,平/半,平/半,2.5,1,1,马德里竞技,2,1,2,0,1,1,20131101
108,11,2013-11-01 05:00,1,皇家贝蒂斯,18,0-0,0-0,平/半,平/半,2/2.5,1,0,莱万特,7,0,0,0,0,0,20131101
109,11,2013-11-01 05:00,0,毕尔巴鄂竞技,5,2-2,0-1,平/半,平/半,2.5/3,1,0,艾尔切,12,2,2,0,1,0,20131101
110,12,2013-11-02 04:00,0,巴塞罗那,1,1-0,0-0,一球,一球,3.5/4,1.5,0,西班牙人,8,1,0,0,0,2,20131102
111,12,2013-11-02 23:00,0,皇家社会,9,5-0,1-0,平/半,平/半,2.5,1,1,奥萨苏纳,16,5,0,1,0,2,20131102
112,12,2013-11-03 01:00,0,阿尔梅里亚,20,1-0,1-0,平/半,平/半,2.5,1,1,瓦拉多利德,13,1,0,1,0,2,20131103
113,12,2013-11-03 03:00,0,巴列卡诺,19,2-3,0-2,半/一,半/一,3/3.5,1.5,0,皇家马德里,3,2,3,0,2,1,20131103
114,12,2013-11-03 05:00,0,塞维利亚,11,0-1,0-0,半球,半球,3,1/1.5,0,塞尔塔,17,0,1,0,0,1,20131103
115,12,2013-11-03 19:00,0,赫塔菲,6,0-1,0-1,平手,平手,2.5,1,0,巴伦西亚,12,0,1,0,1,1,20131103
116,12,2013-11-03 23:59,0,马德里竞技,2,2-0,2-0,半/一,半/一,3,1/1.5,1,毕尔巴鄂竞技,5,2,0,2,0,2,20131103
117,12,2013-11-04 02:00,0,莱万特,8,0-1,0-0,平/半,平/半,2/2.5,0.5/1,0,格拉那达,15,0,1,0,0,1,20131104
118,12,2013-11-04 04:00,0,马拉加,16,3-2,1-1,平/半,平/半,2.5,1,0,皇家贝蒂斯,18,3,2,1,1,2,20131104
119,12,2013-11-05 05:00,0,艾尔切,13,0-1,0-0,平手,平手,2.5,1,0,比利亚雷亚尔,4,0,1,0,0,1,20131105
120,13,2013-11-09 03:00,0,奥萨苏纳,17,0-1,0-1,平/半,平/半,2.5,1,0,阿尔梅里亚,19,0,1,0,1,1,20131109
121,13,2013-11-09 05:00,0,格拉那达,11,3-1,0-0,平手,平手,2/2.5,0.5/1,0,马拉加,12,3,1,0,0,2,20131109
122,13,2013-11-09 23:00,0,皇家马德里,3,5-1,4-0,一球,一球,3.5/4,1.5,0,皇家社会,7,5,1,4,0,2,20131109
123,13,2013-11-10 01:00,0,赫塔菲,6,1-1,1-0,平/半,平/半,2.5,1,0,艾尔切,13,1,1,1,0,0,20131110
124,13,2013-11-10 03:00,1,毕尔巴鄂竞技,5,2-1,0-1,平/半,平/半,2.5,1,0,莱万特,9,2,1,0,1,2,20131110
125,13,2013-11-10 05:00,0,塞尔塔,15,0-2,0-1,平/半,平/半,2/2.5,1,0,巴列卡诺,20,0,2,0,1,1,20131110
126,13,2013-11-10 19:00,1,西班牙人,11,1-3,1-2,平手,平手,2.5,1,0,塞维利亚,14,1,3,1,2,1,20131110
127,13,2013-11-10 23:59,0,巴伦西亚,10,2-2,1-1,平/半,平/半,2.5/3,1,0,瓦拉多利德,18,2,2,1,1,0,20131110
128,13,2013-11-11 02:00,0,比利亚雷亚尔,4,1-1,0-1,平手,平手,2.5/3,1,0,马德里竞技,2,1,1,0,1,0,20131111
129,13,2013-11-11 04:00,0,皇家贝蒂斯,20,1-4,0-2,半/一,半/一,3/3.5,1/1.5,0,巴塞罗那,1,1,4,0,2,1,20131111
130,14,2013-11-23 04:00,0,瓦拉多利德,15,0-1,0-0,平/半,平/半,2/2.5,0.5/1,0,奥萨苏纳,19,0,1,0,0,1,20131123
131,14,2013-11-23 23:00,0,巴塞罗那,1,4-0,2-0,一球,一球,3/3.5,1.5,1,格拉那达,8,4,0,2,0,2,20131123
132,14,2013-11-24 01:00,0,皇家社会,7,4-3,1-2,平/半,平/半,2.5,1,1,塞尔塔,16,4,3,1,2,2,20131124
133,14,2013-11-24 03:00,0,阿尔梅里亚,17,0-5,0-1,半/一,半/一,3.5,1.5,0,皇家马德里,3,0,5,0,1,1,20131124
134,14,2013-11-24 05:00,0,马德里竞技,2,7-0,2-0,半/一,半/一,3,1/1.5,1,赫塔菲,6,7,0,2,0,2,20131124
135,14,2013-11-24 19:00,1,莱万特,9,0-3,0-1,平/半,平/半,2/2.5,1,0,比利亚雷亚尔,4,0,3,0,1,1,20131124
